City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,talas,38.6908,35.5538,3.37,75,75,0.0,TR,1731724747
160,labrador city,52.9463,-66.9114,-2.12,81,100,8.05,CA,1731724749
161,mmabatho,-25.85,25.6333,15.98,72,3,3.6,ZA,1731724751
162,sur,22.5667,59.5289,26.23,57,0,0.54,OM,1731724753
163,colonia,50.9333,6.95,7.36,85,100,2.06,DE,1731724555
164,touros,-5.1989,-35.4608,25.38,75,6,6.35,BR,1731724756
165,port angeles,48.1181,-123.4307,5.94,92,0,3.09,US,1731724757
166,villa gesell,-37.2639,-56.973,20.06,73,100,8.77,AR,1731724498
167,bikenibeu village,1.3673,173.1241,29.98,70,40,3.09,KI,1731724760
168,caluula,11.9661,50.7569,25.85,78,99,1.74,SO,1731724761
169,arawa,-6.2132,155.5367,30.06,70,12,1.87,PG,1731724765
170,enewetak,11.3474,162.3373,28.27,68,4,5.67,MH,1731724788
171,ginir,7.1333,40.7,11.03,52,90,2.52,ET,1731724792
172,rezekne,56.5,27.3167,5.23,93,100,8.05,LV,1731724793
173,bay city,43.5945,-83.8889,8.12,92,100,2.06,US,1731724801
174,balao,-2.9167,-79.8167,20.99,87,60,2.74,EC,1731724803
175,barcelos,41.5388,-8.6151,15.69,79,99,3.14,PT,1731724804
176,kapuskasing,49.4169,-82.4331,0.05,100,100,1.54,CA,1731724805
177,gumdag,39.2061,54.5906,6.94,44,18,5.16,TM,1731724806
178,kingston,17.997,-76.7936,28.53,84,20,1.54,JM,1731724566
179,sananduva,-27.9497,-51.8067,17.71,79,5,3.38,BR,1731724810
180,salalah,17.0151,54.0924,23.05,46,0,1.03,OM,1731724812
181,santa terezinha,-29.9002,-50.0904,20.62,91,36,9.74,BR,1731724813
182,ilulissat,69.2167,-51.1,-12.99,47,44,1.54,GL,1731724814
183,ghanzi,-21.5667,21.7833,21.48,65,0,3.91,BW,1731724815
184,st. john's,47.5649,-52.7093,11.2,99,100,6.69,CA,1731724760
185,lebu,-37.6167,-73.65,9.99,78,38,4.67,CL,1731724819
186,elk city,35.412,-99.4043,13.99,58,0,7.2,US,1731724820
187,pinheiro,-2.5214,-45.0825,21.58,99,42,1.25,BR,1731724821
188,bosobolo,4.1833,19.9,20.92,98,96,1.61,CD,1731724822
189,pemangkat,1.1667,108.9667,27.22,78,100,0.7,ID,1731724824
190,saldanha,-33.0117,17.9442,13.03,91,0,7.13,ZA,1731724825
191,bengkulu,-3.8004,102.2655,27.29,82,100,0.77,ID,1731724827
192,nanning,22.8167,108.3167,26.25,49,5,2.15,CN,1731724828
193,souillac,-20.5167,57.5167,24.21,78,75,2.57,MU,1731724829
194,guerrero negro,27.9769,-114.0611,16.11,68,1,7.92,MX,1731724830
195,dwarka,22.2394,68.9678,26.68,51,5,4.06,IN,1731724831
196,iquique,-20.2208,-70.1431,18.13,76,59,0.87,CL,1731724833
197,puerto quijarro,-17.7833,-57.7667,26.96,63,88,1.88,BO,1731724834
198,alto araguaia,-17.3147,-53.2153,20.29,93,97,5.38,BR,1731724836
199,kavaratti,10.5669,72.642,28.25,75,86,1.49,IN,1731724837
200,palmer,42.1584,-72.3287,6.02,41,20,2.06,US,1731724838
201,uttar char fasson,22.2332,90.7132,24.18,72,5,4.08,BD,1731724839
202,nahiyat al fuhud,30.9697,46.7228,18.09,39,0,2.03,IQ,1731724841
203,dunedin,-45.8742,170.5036,10.45,59,99,1.34,NZ,1731724842
204,flying fish cove,-10.4217,105.6791,26.82,89,100,5.14,CX,1731724843
205,palikir - national government center,6.9248,158.1611,32.41,62,40,3.09,FM,1731724846
206,lao cai,22.4833,103.95,27.81,44,0,1.11,VN,1731724849
207,general conesa,-40.1,-64.4333,18.03,16,88,7.11,AR,1731724850
208,callao,-12.0667,-77.15,21.51,77,0,4.12,PE,1731724827
209,gembu,6.7,11.2667,14.92,41,51,1.63,NG,1731724853
210,nikolayevsk-on-amure,53.1406,140.73,-5.2,85,100,3.7,RU,1731724856
211,banda aceh,5.5577,95.3222,28.5,73,77,2.57,ID,1731724857
212,afaahiti,-17.75,-149.2833,24.33,89,93,6.1,PF,1731724858
213,ancud,-41.8697,-73.8203,8.24,84,37,3.0,CL,1731724736
214,saint-philippe,-21.3585,55.7679,23.62,75,46,4.57,RE,1731724861
215,kozani,40.3011,21.7864,-0.62,100,100,7.2,GR,1731724862
216,argo,37.6333,22.7333,13.01,87,35,2.32,GR,1731724863
217,sandnessjoen,66.0217,12.6316,5.9,69,100,16.61,NO,1731724864
218,veraval,20.9,70.3667,25.58,41,88,3.69,IN,1731724866
219,coahuayana de hidalgo,18.7,-103.6583,24.48,89,14,1.16,MX,1731724867
220,walvis bay,-22.9575,14.5053,15.45,91,21,0.53,NA,1731724868
221,borzya,50.3833,116.5167,-11.76,71,10,7.1,RU,1731724870
222,puerto ayacucho,5.6639,-67.6236,24.69,90,100,1.54,VE,1731724871
223,medina,24.4686,39.6142,22.24,28,0,2.06,SA,1731724711
224,cavalaire-sur-mer,43.174,6.5272,2.4,64,3,2.03,FR,1731724873
225,remire-montjoly,4.9167,-52.2667,26.02,94,20,1.54,GF,1731724876
226,chimoio,-19.1164,33.4833,17.92,100,20,0.7,MZ,1731724877
227,vila franca do campo,37.7167,-25.4333,18.27,99,53,6.28,PT,1731724879
228,newman,37.3138,-121.0208,10.02,63,22,0.89,US,1731724862
229,port moresby,-9.4431,147.1797,33.68,59,40,2.57,PG,1731724881
230,valera,9.3178,-70.6036,20.86,94,51,2.68,VE,1731724882
231,puerto ayora,-0.7393,-90.3518,22.53,80,55,2.24,EC,1731724883
232,abu al matamir,30.9102,30.1744,15.86,81,0,1.2,EG,1731724884
233,sale,34.0389,-6.8166,18.38,94,95,3.09,MA,1731724885
234,liman,48.9884,37.8023,0.97,96,100,2.32,UA,1731724806
235,duong dong,10.2167,103.9667,31.0,70,40,0.51,VN,1731724888
236,tofol,5.3248,163.0078,30.88,66,75,4.12,FM,1731724889
237,kodinsk,58.6881,99.1844,-17.31,93,74,1.36,RU,1731724891
238,puerto baquerizo moreno,-0.9,-89.6,21.14,73,96,4.73,EC,1731724892
239,kone,-21.0595,164.8658,28.97,61,100,2.07,NC,1731724893
240,bardai,11.65,7.2333,17.97,20,0,4.02,NG,1731724895
241,ribeira brava,32.65,-17.0667,18.73,80,100,6.25,PT,1731724896
242,laojunmiao,39.8333,97.7333,-0.31,71,8,2.87,CN,1731724897
243,benguela,-12.5763,13.4055,24.72,83,100,1.01,AO,1731724898
244,ambato boeny,-16.4667,46.7167,25.76,67,0,2.58,MG,1731724900
245,dapa,9.7594,126.0531,28.9,75,100,3.28,PH,1731724903
246,alofi,-19.0595,-169.9187,26.94,61,75,7.2,NU,1731724904
247,nogliki,51.8333,143.1667,-2.06,55,100,4.84,RU,1731724905
248,loreto,22.2667,-101.9667,16.16,38,8,1.44,MX,1731724909
249,al jawf,29.5,38.75,17.19,45,2,4.28,SA,1731724910
250,huanuco,-9.9329,-76.2415,17.09,96,59,0.9,PE,1731724912
251,revda,56.801,59.9303,-1.64,87,93,6.05,RU,1731724913
252,bandar abbas,27.1865,56.2808,19.99,88,20,3.09,IR,1731724914
253,happy valley-goose bay,53.3168,-60.3315,2.17,100,100,5.14,CA,1731724916
254,swakopmund,-22.6833,14.5333,16.1,90,18,1.38,NA,1731724918
255,badger,64.8,-147.5333,-11.07,83,75,1.54,US,1731724919
256,sao vicente,-23.9631,-46.3919,20.55,26,77,2.75,BR,1731724920
257,poronaysk,49.2167,143.1167,2.91,61,100,7.29,RU,1731724921
258,lautoka,-17.6167,177.4667,29.92,54,20,6.69,FJ,1731724923
259,fortuna,40.5982,-124.1573,9.43,86,100,4.63,US,1731724819
260,keflavik,64.0049,-22.5624,1.24,55,75,6.69,IS,1731724925
261,kingscliff,-28.2667,153.5667,26.89,69,40,7.2,AU,1731724927
262,ta`u,-14.2336,-169.5144,27.05,78,42,8.04,AS,1731724928
263,jayapura,-2.5333,140.7,32.66,63,65,4.61,ID,1731724930
264,arish,31.1316,33.7984,13.1,88,0,2.57,EG,1731724931
265,constantia,44.1833,28.65,0.39,81,5,6.1,RO,1731724933
266,bunkeflostrand,55.5333,12.95,9.95,78,100,11.79,SE,1731724935
267,carnarvon,-24.8667,113.6333,23.28,59,99,6.98,AU,1731724936
268,prado,-17.3411,-39.2208,23.64,87,42,2.94,BR,1731724938
269,tomatlan,19.9333,-105.25,22.67,93,7,0.52,MX,1731724939
270,srivardhan,18.0333,73.0167,27.76,72,67,1.9,IN,1731724940
271,lloydminster,53.2835,-110.0016,-0.88,93,100,1.54,CA,1731724941
272,coquimbo,-29.9533,-71.3436,13.85,94,20,1.54,CL,1731724942
273,ust'-uda,54.1742,103.0304,-11.57,77,99,0.29,RU,1731724944
274,port douglas,-16.4833,145.4667,28.9,65,56,4.36,AU,1731724945
275,island harbour,50.724,-1.2758,6.22,3,98,3.07,GB,1731724948
276,kurchum,48.5722,83.6542,-5.97,67,17,1.36,KZ,1731724949
277,ouesso,1.6136,16.0517,20.73,99,100,0.54,CG,1731724950
278,chachapoyas,-6.2317,-77.869,11.88,94,47,0.77,PE,1731724952
279,nizhniy ingash,56.2,96.53,-9.3,92,100,2.05,RU,1731724953
280,vyaz'ma,55.2104,34.2951,1.3,90,100,6.31,RU,1731724955
281,lata,40.1629,-8.3327,12.32,91,99,4.63,PT,1731724956
282,vorkuta,67.5,64.0,-5.67,98,100,2.54,RU,1731724957
283,richards bay,-28.783,32.0377,19.69,80,63,5.06,ZA,1731724959
284,elkins,38.9259,-79.8467,7.74,96,100,0.45,US,1731724960
285,haiku-pauwela,20.9219,-156.3051,26.01,68,20,13.38,US,1731724963
286,tselinnoye,53.0833,85.6667,-2.86,83,100,6.6,RU,1731724964
287,bijar,35.8668,47.6051,0.97,63,0,2.65,IR,1731724966
288,geraldton,-28.7667,114.6,25.23,36,70,9.74,AU,1731724971
289,camapua,-19.5314,-54.0439,22.51,87,100,2.51,BR,1731724972
290,aras-asan,8.8908,126.3033,30.69,66,100,3.68,PH,1731724973
291,bechar,31.6167,-2.2167,12.18,32,0,2.06,DZ,1731724974
292,shiprock,36.7855,-108.687,8.83,32,0,2.42,US,1731724977
293,kidal,18.4411,1.4078,22.62,16,0,4.83,ML,1731724978
294,belyy yar,53.6039,91.3903,-1.06,64,0,8.0,RU,1731724983
295,mawlaik,23.6333,94.4167,25.4,64,0,0.85,MM,1731724984
296,pucon,-39.2822,-71.9543,5.95,86,5,0.33,CL,1731724970
297,paciran,-6.8767,112.3761,32.15,57,7,2.84,ID,1731724987
298,orsta,62.2029,6.1272,4.87,81,100,6.69,NO,1731724988
299,sabang,5.8933,95.3214,27.99,76,100,3.3,ID,1731724990
300,hamilton,39.1834,-84.5333,10.23,89,100,2.57,US,1731724751
301,titao,13.7667,-2.0667,26.21,26,33,4.5,BF,1731724993
